Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text,Sentiment
523001,B001EO5U8I,A250CQHA3GDXIE,"chris ""teh castle.""",4,4,5,1179100800,"good tea, good bargain","very good tea at a good bargain, you get three bags of tea that can each make about 45-50 cups of tea, so thats anywhere between 135-150 cups of tea.",2
523014,B001EO5U8I,A1LZJZIHUPLDV4,"vegancompassion ""anattanupassana""",2,2,5,1224720000,Vegan Organic Kosher Choice,"Vegan. Organic. Kosher. Very smooth taste. Medium dark color. Great tea and brand. Economical. Assam can be a wonderful place to visit when calm. Off the well-beaten and ordinary tourist path. Beautiful people. Possible to take the train (or a flight) from Kolkata [Calcutta.] Large parts of Assam are blanketed with beautiful tea gardens. Stayed at a tea garden in Assam on one of my visits there. Loose leaf tea is very economical even for premium brands compared to tea bags. Bulk loose tea is also typically better than the powdered teas used for tea bags. Stash is a leading organic tea brand. Also really like <a href=""http://www.amazon.com/gp/product/B001E5E268"">Stash Premium Organic Jasmine Green Tea, Loose Leaf, 3.5-Ounce Pouches (Pack of 3)</a>. Check out that review if you are interested in some brewing tips. This review is out there for those for whom this makes a difference. See all of my reviews for more great choices. Check out ""Vegan Grocery Favorites"" and ""Vegan Grocery Top Ten"" in Listmania. Your ""helpful"" votes count and will be greatly appreciated to benefit the search of others. Thank you.",2
523080,B001EO5U8I,AKJ95RJVUPGRW,Joyce Basch,0,1,1,1330128000,Terrible,"This was the worst loose tea I have ever had.  I love Stash teabags, English breakfast, but this is bitter and not smooth.save your money",0
523068,B001EO5U8I,A1S4QSDPBDKGMA,C. Patton,0,0,5,1257552000,"A great tea, plain and simple!!!",I drink this tea as a part of my everyday ritual.  Those of you who drink tea understand.  I particularly love this jasmine tea.  It has a light flavor with a nice smell.  It is also a great perk that I can order it in a three pack as I use this tea both at work and at home.  I hope you enjoy this product as much as I do.,2
523059,B001EO5U8I,ARDSUEAU593W4,"Alex ""AG""",0,0,1,1296345600,Too much sediment,I do love Stash Honeybush but the tea bag version.  I thought I'll give the lose tea a try.  The tea leaves are cut TOO SMALL!  The sediment is everywhere.  I have to strain it 3 times.  I'm definitely not getting this again.,0
522987,B001EO5U8I,A16KK3YHCWE29C,QF Jane,1,3,3,1190678400,Not what I expected,"The price + being organic is what drew me in to try the Stash brand... but the taste is nowhere near the Jasmine tea that I can get at my local teashop.<br /><br />I have tried several different ways of brewing, and the sweet jasmine aroma & taste is barely discernible.<br /><br />It is drinkable though, and like I said, the price was very good.  I hope to try the Numi brand next -- I have heard rave reviews about their Jasmine Pearl teas!",1
523062,B001EO5U8I,A3S994HDBZ6CAP,donna in memphis,0,0,5,1275177600,I always come back to this tea,"I have become quite the tea drinker, a bit of a tea snob actually.  I have tried them all. I no longer drink tea bag tea, only full leaf loose tea.  This English Breakfast tea by Stash, (full leaf loose) is by far my favorite and one I always come back to.  It has a nice body and aroma, yet never muddy.  Never bitter either.  I always add milk, never sugar, because to me, this tea has a natural sweetness to it.  It is clean & smooth, yet rich.<br />It has a perfect balance for my taste.  I cannot understand why some people only give this tea one star, maybe they just received a bad batch.  I will say that I have noticed slight differences from different batches I have received throughout the years.  I have been drinking this tea for 6 years now, and I love it.",2
523016,B001EO5U8I,A3DWLW7WWFKE6D,"Judith ""judy""",2,2,4,1212451200,good but pricey,"A friend requested loose Jasmine tea for her birthday and there weren't many options. Being in a hurry, I bought it, keeping one of the 3 packs for myself. I think the price is rather high, but the package zip locks, and the favor is nice. Strong enough to know it's jasmine, but not annoying.",2
522995,B001EO5U8I,A7VNP2A3H72JD,"Glenda Steffee ""GH Steffee""",0,6,5,1188604800,Daughter's first choice,"My adult daughter is ""into"" saving the planet, tigers, water resources, trees, etc. She chose this chai tea after discovering an old tea infuser in the kitchen drawer thinking it would be grand to make tea ""the old fashioned way"".  She realized with the first brewed cup that loose tea has a much fresher, intense flavor than teas in a bag. I doubt that she will go back to using tea bags again and will probably research and request more Stash tea products in the future.",2
523009,B001EO5U8I,A1NA2IGTRDXPAM,"Earl McKenney ""Earl""",3,3,5,1168387200,Tea,tangy ginger flavor - very pleasing to the senses; only takes a small amount to make a delicious cup of hot tea or iced tea in a pitcher for the refrigerator,2
523083,B001EO5U8I,A1KYY5W9P0FFRG,Caroline,0,1,3,1289001600,Little too strong for me,"It's okay, but I wouldn't buy it again.  My absolute favorite green tea is made by specialteas.com.  It's a decaf apricot green tea.  I always end up going back to that after trying other teas.  I've even gotten used to drinking it plain without any sweeteners.  A cup sounds pretty good right now!",1
523036,B001EO5U8I,A3IKZU52IAXVI9,C. H. Walker,1,1,5,1190160000,Tasty and Good for You!,This is the perfect morning perk me up.  The tea brews nicely and has just a hint of jasmine flavors (not overpowering at all).,2
523005,B001EO5U8I,AAVXLDJPBOJBW,Simon,6,7,4,1168992000,About right...,"My experience so far with black organic teas is that they tend to be lighter in flavor that their non-organic counterparts although I can think of no good reason for this. Stash's Organic Ceylon is no exception - it has a good, but subtle flavor.<br /><br />The quality is good: the leaves are small tips and there is very little tea ""dust"" or stems in the bag.<br /><br />I have blended this 1:1 with Stash's Organic Assam for an easy drinking English-style tea.",2
523051,B001EO5U8I,A2MQ6I7OOCTHZD,E. Foote,0,0,5,1323820800,Excellent tea,"This tea is absolutely delicious, my husband and I love it. It's very smooth and subtly sweet, and especially good mixed with a little green rooibos and a bit of white tea for a touch of caffeine. I haven't noticed any sediment in my cup at all from it yet. I have no complaints, I'm turning into a regular drinker and am signed up for Subscribe & Save. Highly recommended.",2
523027,B001EO5U8I,AT0IKAJJBC86V,"kis ""simplicity""",1,1,5,1261526400,Great Coffee Substitute,"Coffee was killing my stomach so I went in search of a healthy organic alternative to my morning ritual and discovered this little treasure.  The jasmine is strong and the green tea is superb.  And, with less caffeine in my life, I am a much nicer person (chuckle).",2
523081,B001EO5U8I,A1N32358AY0TZZ,S. Aghassy,0,1,4,1313107200,"Solid, Strong Green Tea",This is a pretty good all around tea.  You can make this pretty strong very easily.  Nothing too special about.  I will probably go on to try other teas.,2
522998,B001EO5U8I,A3930X480VRR8D,murray lee,7,7,5,1181606400,great strong tea,Use 1/2 as much tea as you normally brew and still have a stronger more full bodied tea.,2
523056,B001EO5U8I,ALC2730501FVO,GAYLE ISHII,0,0,5,1307577600,lodi gayle,I LOVE THIS TEA.  I WISH STASH STILL HAD THIS IN TEA BAGS.  I WAS ABLE TO TUCK THEM INTO GIFTS TO FRIENDS.  NOW I HAVE TO MAKE MY OWN BAGS TO GIVE AWAY.  THE TEA IS GREAT.,2
523022,B001EO5U8I,AZ2NEHE8TNRUW,prb in California,1,1,2,1295568000,weak Earl Grey,"This tea is a disappointment because its flavours are weak.  It takes about double the amount suggested to brew a proper pot.  The packaging is green, but that does not make up for the weak tea inside.  If you do not like a strong, traditional bergamot flavour, then try this one.  You might like it, but I did not.",0
522992,B001EO5U8I,A2KQGGZJTJ1CGE,D. Logan,1,4,5,1189382400,Good for Indoor Smoking,"Great for making ""smoked"" ribs in your oven!  (But I don't think I'd ever drink the stuff)",2
523067,B001EO5U8I,A1LC4QKZFH5PWM,M. MATYASTIK,0,0,4,1269129600,Follow the directions,"This is a quality tea that requires you to follow the directions.  My first attempt was by using my old method that works well with a different brand of tea.  In my opinion, when I did the job my old way the result was powerful (too strong).  After two more failed attempts I finally decided to read and follow the brief directions on the package. What have been enjoying for a few years is a strong tea with milk.  Now I have discovered a tea that can be enjoyed straight.",2
522994,B001EO5U8I,A1CVPBZYFSVIAQ,"t rad ""t rad""",1,6,1,1173571200,Tastes like a Campfire!!!,"The product description says, ""assertive, dark, smoky fragrance and flavor"" and they ain't kiddin'!!!  It barely tastes like tea at all... more like they took a cloth, let it hang in campfire smoke for a week, soaked it in hot water and wrung it out into my mug.  Seriously!<br /><br />I've tried taking half of a pinch of this and adding to other tea leaves when I brew a pot. That turns out pretty good.  But straight? You'd better like wood smoke!",0
523084,B001EO5U8I,A9RZL4DEXSXGS,Joan Ellen Brode,0,1,4,1284336000,Stash Irish Breakfast,This is a great loose leaf tea.  A very fresh taste for the first cup of the morning.,2
523038,B001EO5U8I,A1LZJZIHUPLDV4,"vegancompassion ""anattanupassana""",2,3,5,1224720000,Vegan Organic Kosher Choice,"Vegan. Organic. Kosher. Nice beautiful loose leaf jasmine tea. Great for brewing a cup at a time with an infuser or for larger amounts with my TeaDrop. Loose leaf tea is very economical even for premium brands compared to tea bags. Bulk loose tea is also typically better than the powdered teas used for tea bags. Stash is a leading organic tea brand. You can also make any amount using a method common in India by adding the tea leaves into roiling boil water in a pot on the stove for a 3-7 minutes (to taste) and then using a strainer to remove the tea leaves. Longer boiling makes darker tea, but any tea can also become more bitter if boiled longer or too long this way. It is also not advisable to leave the tea leaves in the tea after boiling for the same reason. Use a timer and boil a test batch. Dip a ladle and pour through a strainer into tasting cups at one minute intervals. Set them aside and taste test after finished. Choose your preferred time and strength for future use. This review is out there for those for whom this makes a difference. See all of my reviews for more great choices. Check out ""Vegan Grocery Favorites"" and ""Vegan Grocery Top Ten"" in Listmania. Your ""helpful"" votes count and will be greatly appreciated to benefit the search of others. Thank you.",2
523011,B001EO5U8I,A971V3U77BXE5,"J. Hirschman ""in California""",2,2,1,1268524800,"Looks good, tastes bad","I was looking forward to this product, as my wife and I both like Earl Grey tea, and decaf lets us drink it at night.  We drink a variety of tea, so we don't go through individual tea very quickly, so I was looking forward to the resealable packets.<br /><br />Unfortunately, this tea just doesn't taste good initially and has a particularly unpleasant aftertaste.  I definitely would not recommend buying this tea.",0
523047,B001EO5U8I,AF3ARXQTCC4B4,Ben,0,0,2,1331337600,Pretty bad,"pros:<br />+ resistant to overbrewing (getting bitter) when left to steep for long periods of time<br /><br />cons:<br />- very little smell or taste<br />- cannot re-brew, even once; a good green tea can be re-brewed twice for a total of three brews<br />- about twice as expensive as my previous green tea, which is far superior in every way except for the overbrewing issue noted above<br /><br />i'm going back to my previous tea:<br /><br />http://www.amazon.com/Yamamotoyama-Loose-Sencha-Green-7-Ounce/dp/B003XUL1MK/ref=sr_1_5?ie=UTF8&qid=1331447807&sr=8-5",0
522988,B001EO5U8I,A2WEQ52C7ZOGQY,"Ping Fin ""tea expert""",2,5,2,1175385600,Not really an Earl Grey tea,"This tea is spiced with other spices than bergamont and while the tea seems of good quality its taste it unlike an Earl Grey.  It tastes almost sweet and more like an herbal than a black tea.  If you are looking for an Earl Grey, this certainly is not it.",0
523061,B001EO5U8I,A244ZOEIN2H8A7,David Calder,0,0,4,1287360000,Very tasty,I liked this a lot and will keep this in my tea stock.  The Bergamot is strong and compliments the full bodied earl grey tea well.,2
523048,B001EO5U8I,A1V1I97UQ82WK4,gagunter,0,0,5,1328918400,Great Decaffeinated Chai,"My wife drinks 4-5 cups of hot decaf chai every week.  We found the decaf version of any brand was hard to find in local stores, so I went to my trusty Amazon and found this product.  It tastes good, she can drink at night with no sleep problems and we've ordered it regularly from Amazon over the past year and a half.",2
523018,B001EO5U8I,A3OYRU2VONLAQT,"PAC ""islandhousebooklover""",2,2,5,1194912000,"great tea, great price, great service","Being British in America and finding a good ""cuppa"" is almost impossible. but I think with the stash breakfast tea I can happily live here forever.",2
522999,B001EO5U8I,A2OOGNEEW60IQ,M. Bolin,5,5,3,1169510400,Good value but.....,"This tea has a very grassy, vegetal taste and smell, which can be good or bad depending on your preference.",1
523074,B001EO5U8I,A1M5D0DG09UGVM,Bonne Maman,0,0,4,1185494400,Big leaves,I haven't had any problems with this tea so I am a notch above indifferent.  I don't regret buying it.,2
523017,B001EO5U8I,A35OD1RKGX6RJK,foamweapons,2,2,4,1195430400,Great Green Tea,"I've tried many green teas in the same price range, but I always come back to Stash Organic Green.<br /><br />This green tea tastes how I think green tea should taste.  It's light, vegetal and very smooth.  To get the full flavor you need to use more leaves than most other green teas, and make sure the water temperature doesn't go over 180 degrees.  I often mix this tea with cascade mint, jasmine green or other Stash loose leaf herbal teas because although it's very good by itself, plain green tea can get boring day-after-day.  Contrary to the other reviewer, I don't like the Stash Organic Pinhead Gunpowder, and recommend this tea instead.",2
522990,B001EO5U8I,A3C39I4ZCC5212,Anthony Quang Pham,0,2,3,1310169600,Very strong...,"This is my first bag of chai tea and I have to say, it's extremely strong if you try to drink this straight. I can barely taste the tea itself, just a bit of bitter, and an extremely strong spice taste.<br /><br />It gets better if you water it down a lot, or take it with a lot of milk (basically a chai tea latte), which I suppose is how it's supposed to be drunk. But you start losing the base tea and only get the other spices.",1
523026,B001EO5U8I,A3GMNAZ67M6D6D,Rebekah,1,1,5,1262908800,Good all around tea,"This tea is my go to tea for everyday!  It is nearly indestructible!  I've forgotten about it and it has steeped for 15 minutes and still tastes great!  I can brew it, put it in my travel mug, go to the gym and an hour and a half later it still tastes great!  Can't beat the value either at about $5 a bag.  If I recall correctly it is about $7 at the Stash store in Oregon.  This is the tea that got me drinking green tea!",2
523055,B001EO5U8I,A2SF1TJBQZR3JW,Rahul Ashok,0,0,5,1310256000,Excellent English Breakfast Tea,"I have been searching for the 'right' balanced English Breakfast Tea for a few years now. Other than actual English Teas from London, England, it was very difficult to find a rich and aromatic English Breakfast.<br /><br />After trying out at least 20 different varieties, including some very expensive brands, I've found this to be the perfect cuppa in the morning. Personally, loose leaf seems to taste a lot better to me, and I've not tried the tea-bag variety on this one.<br /><br />Hope others enjoy this tea as much as I have.",2
523010,B001EO5U8I,A3MUSWDCTZINQZ,"Ulalume Jones ""Creative Gal""",2,2,5,1283990400,My favorite Stash tea!,"I love this tea.  It is like the coffee of teas!  Strong brew, it has a malty taste I love. I've tried other Irish Breakfast teas and keep coming back to this one, other brands seem weak in comparison.",2
523002,B001EO5U8I,A1B54NV7RNRBO4,Lori,4,4,5,1199577600,My favorite!,"I've started each morning off with this particular tea for the last 5 or 6 years. I love this tea. I went from a coffee drinker to a green tea drinker because of this tea. It has nice a strong flavor that I simply adore. (I make it much stronger then suggested, I love bitter tastes! Then I just add hot water to the leaves for the second cup, and it is as good as the first!) I have been purchasing this from Stash directly for years, but it is a better deal on Amazon.",2
523066,B001EO5U8I,AZ4T61QUJHA9E,"Patrick K. Miller ""Keeper of Nothing""",0,0,4,1272326400,Good tea.,"This is good loose leaf tea and the packaging makes this tea a very good purchase. There are three packages so while using one the other two stay fresh, the package has a zip lock thing to help preserve freshness and the bottome is fasioned so that it can stand up like in the picture. The tea itself is very good, but you must remember that this is Jasmine green tea... All in all I am happy with the purchase.",2
523008,B001EO5U8I,A2R4BNNO98V4A2,J. Prall,3,3,2,1198022400,This is not premium quality tea,"I agree with the other reviewers.  Stash has some great teas, but this is not one of them.  I consider myself to be fairly well-educated when it comes to tea, and I have never seen tea milled in this manner before.  There are large bits and chunks of leaves and stems.  The flavor of the tea is very grassy, and the tea looks like it is relatively raw.  I guess you get what you pay for.  I'd avoid this tea and get the organic pinhead green.  Better yet, visit Stash's website for teas that come from established tea estates.  I recommend the Ambootia tea estate's Darjeeling Green.",0
173460,B006N3I0N2,A8YD30AWIJB12,"W. Gould ""Standard Nerd""",2,2,5,1261180800,Best Decaf Ever,"This has to be the best decaf I've ever brewed at home.<br />I was a little scared of the darkness of the roast, but the flavor is incredible.<br />Absolutely not bitter at all and full of flavor without tasting burnt or harsh.<br />Being VERY caffeine sensitive, I was concerned about the name being ""Jazzed Up"" decaf as sometimes names like that mean half-caff, but I had no reaction at all, even after multiple cups.<br />I enjoy this coffee very much, and I will have this in stock at home as long as I own a Keurig.",2
173537,B006N3I0N2,A2BGFT7SMJHIYU,wstcstbuyer,0,0,5,1301788800,BEST Decaf Coffee for Keurig Machine - HANDS DOWN!,I have tried many Decaf coffee's for use with the Keurig machine and this one beats them all.  I'll save you a lot of time trying them all out - use this one.  It's amazing!,2
173510,B006N3I0N2,A2B1RFP7BRMW2V,aklytta,0,0,5,1339632000,Good decaf choice!,"I was intrigued by the name of the coffee, and it lives up to the hype.  I enjoy it both hot and over ice, and it fulfills both requirements nicely.  Price, free shipping, and being decaf are also a bonus.",2
173437,B006N3I0N2,A27LG5URLTQN4P,"B. Taylor ""bt495""",0,0,5,1234310400,Great deal,Great deal!  I am a member of a coffee club and decided to try this and saved a couple of bucks. Good deal,2
173476,B006N3I0N2,A3TUTIAVU7Q2E2,AV,1,1,5,1271721600,Almost can't believe it's decaf,After being told no more caffeine I thought my days of enjoying a cup of coffee were over. I have never tasted a decaf that was any good at all. Until now. Yes you can believe all the good reviews about this coffee. I can't tell you how happy I am to finally have a decent cup of coffee again. Ty Emeril and TY Amazon for such a great price. With subscribe and save it's less that 20 bucks for 50. With free shipping. Hello? I have been to Starbucks hundreds of times and I have to disagree with a previous poster..this does not taste like Starbucks. Yes it is a dark coffee but smooth as can be and no aftertaste. You are going to love it!,2
173411,B006N3I0N2,A37TEGQGMD9SY0,P. Edwards,0,0,4,1274745600,Pretty good for decaf,"I love REAL coffee, so I'm not a big fan of decaf.  But I like to have it for guests and if I'm in the mood later in the day and don't want caffeine to keep me up.  This coffee is decent.  The taste is fine.  I'd recommend it, but I'm still not that excited about it. It'll do for decaf.",2
173529,B006N3I0N2,A3UCK1ENWTK4BZ,"David ""I like fantasy, sci-fi and other books...",0,0,2,1319328000,I didn't like it.,"I found the coffee to be too weak. I wonder what his Un-Jazzed Up coffee is like, it must be like drinking plain boiled water. This coffee is only good if you like your coffee weak or make a 6 oz cup maybe.",0
173433,B006N3I0N2,A94A1QT0N7VX2,S. Reid,0,0,5,1238889600,THE BEST DECAF I HAVE EVER TASTED,"THIS IS A BOLD DECAF THAT I JUST LOVE , I FORGET THAT THIS  IS DECAF THATS HOW GOOD IT TASTE",2
173480,B006N3I0N2,A3D7O93PPYVF65,B. Terrell,1,1,5,1267488000,Best decaf I've ever had!,This is the best decaf!!  I cannot have caffeine but I love my morning cup of coffee so I've tried many kinds.  This is my favorite.,2
173523,B006N3I0N2,A524XX7TCJPJ8,kdh,0,0,5,1323907200,Best Ever,"My husband and I love this decaf.  It is our ""Go-To"" choice in the afternoon and evening.One would hardly guess that it is a Decaf.<a href=""http://www.amazon.com/gp/product/B001D0GVAO"">Emeril's Jazzed Up Decaf Coffee, 24-Count K-Cups for Keurig Brewers (Pack of 2)</a>",2
173401,B006N3I0N2,AKJ1URM8SV4C1,rainboeyes,0,0,5,1283299200,THE best decaf!,"The stigma of decafs, in general, has vanished! Emeril's Jazzed Up Decaf is, by far, the richest and finest brew around. It is not ""almost"" coffee. It IS coffee, with more jazz and less BAM! Having to take medication at night I have found the perfect decaf companion. I have served it to many people who say it is the best coffee they have drunk. Sure, they were impressed by the Keuring machine... but the coffee stole the show. And the guests had no idea they were drinking decaf. It just doesn't get any better...",2
173442,B006N3I0N2,A26ZFGW2J6Z5CD,Happy camper,0,1,1,1300579200,Colored water would taste more like coffee than this stuff!,"I don't know what Emeril means by Jazzed Up, but this has no coffee flavor at all. You may as well be drinking water. Save your money.",0
173397,B006N3I0N2,A35R32TA60XD57,M. Torma,0,0,4,1289174400,Didn't find it all that jazzy.,"I have to admit that when I first tried this one I wasn't crazy about it.  It seemed lacking in flavor and richness to me compared to Green Mountain French Roast decaff, which is my favorite.  I have had several cups of it now and am figuring out how to brew it for my taste.  I brew it on the 10 ounce size cup and then add a little cream and sugar and it's perfect.  Not terribly complex in structure, but not bad, just a different, lighter variety.  I have tried brewing it on the smaller cup serving, and it didn't seem to make a difference in taste or fullness so I think I will just keep this one for what it is....a reliable, lighter variety for days when I feel like it.  Worth keeping.",2
173447,B006N3I0N2,AQZB821HVA5SU,Freddie Hornedo,0,1,5,1234137600,"Excellent, Flavorful Coffee!","We've had a Keurig Coffee maker in our office for a couple of years now and I've enjoyed it immensely. I've probably tried every offering that has been available in the office, including regular caffeinated coffees. By far the most flavorful is Emeril's Jazzed Up Decaf. While I do tend to favor decaf, this one stands out to me among them all. One of the favorites in the office is Timothy's Rainforest Espresso which is good in it's own right, however, after we ran out of Emeril's I was forced to brew myself a cup of Rainforest and was left disappointed in the taste department. Other reviewers may call the taste burnt, but to my palate it is robust, flavorful and thoroughly enjoyable coffee.",2
173406,B006N3I0N2,AJO4XBM7UE06Y,Tina G.,0,0,5,1277337600,Best decaf coffee for Keurig...,Emeril's Jazzed Up Decaf is awesome. I have found very few decaf K-cups to even try. I've tried Timothy's Colombian Decaf and Green Mountain Decaf & French Roast Decaf. Emeril's beats them all. It has a nice strong flavor; but no bitterness. Very enjoyable cup of coffee for after dinner for those sensitive to caffeine at night. I highly recommend it if you're a decaf drinker.,2
173412,B006N3I0N2,A2SKZZZBV1XYWP,Sledman,0,0,4,1274486400,Best K-Cup Decaf Available,My wife and I have tried many of the K-Cup decafs. Most are watered down tasting... very weak. We previously liked the Newmans organic decaf however after tasting Emeril's we are hooked. It has a nice string coffe flavor and smells great brewing. if you are a Decaf drinker and own a Keurig this is the one for you.,2
173508,B006N3I0N2,A1QA4O8XCBPOYH,"Susan Waldman ""shwteacher""",0,0,5,1339804800,Very good decaf.,Son and I like strong coffee even when drinking decaf.  This one is full bodied and substantial.  So much better than most decaf coffees.,2
173483,B006N3I0N2,A3KE6TMMH3BG00,"Walker ""pseudo-savant""",1,1,5,1266364800,A great cup of coffee that just happens to be decaffeinated,"EMERIL'S JAZZED UP DECAF K-CUPS make for a bold, smooth, delicious-tasting cup of dark-roasted coffee without, as other reviewers have noted, a trace of bitterness.  I drink a fully-caffeinated cup of coffee in the morning which provides all the caffeine I want.  If I want more coffee, I follow the first cup with this decaf, and I can't tell the difference.  It's just another great cup of coffee.  Delicious!<br /><br />If you limit your caffeine intake and enjoy a full-bodied dark roast, don't hesitate to try this one.",2
173478,B006N3I0N2,A2XBVPWOW07UEE,"K. Thorp ""Busy Mom of 2""",1,1,5,1269043200,Decaf with great flavor!,"I have to drink decaf for health reasons, and the flavor of this one does not disappoint at all! I will be buying this one again and again.",2
173398,B006N3I0N2,AJ1P59G0KJN9Y,Stephanie,0,0,5,1288137600,Fantastic Decaf,"I'm incredibly picky about my coffee and have been making my own lattes and cappuccino's for years.  When I had to give up caffeine temporarily, I was thrilled to find this decaf - one that isn't lacking in body or flavor (no winey, raisiny, watery coffee for me, please).  Now that I'm consuming caffeine again...this decaf has stayed on auto-deliver.  It's THAT good.  And for the record, I've tried all of the top rated decaf K-cups here and this one has beat them hands down (even the Dark Magic, which I had high expectations of!).",2
173533,B006N3I0N2,A4EBYIKOMYFF9,E. Wilson,0,0,2,1304294400,"not tasty, not strong, not good","The only real flavor this coffee has is burned. No matter how little creamer I use all it tastes like is hot water if you ran it through an old, used k-cup. I really like donut shop decaf and especailly like green mountain french roast decaf, both have great flavor even when brewed on the largest size setting.",0
173400,B006N3I0N2,A19LPZA84LGD98,"Bette Boersma ""author, egalitarian""",0,0,5,1284336000,"Full, Robust flavor",Emeril's Jazzed up Decaf lives up to its name. It makes a truly satisfying cup of coffee that even my most particular friends call delicious. I order mine with Amazon's subcription service so I will never run out!,2
173394,B006N3I0N2,A2NBWUBL7MJ8MJ,"Terry Kennewick ""online is easier""",0,0,4,1291161600,Jazzed up means bold!,"Like this coffee occasionally, bit bold a coffee blend for regular drinking.  Can't fault the blend for this, it's more a personal taste.",2
173391,B006N3I0N2,A2YDKZWL9EWKE3,"K. Shaw ""Kass""",0,0,3,1295049600,Emril's Jazzed up decaf,I was disappointed in this coffee.  I've had the regular Emeril's and really liked it.  I was looking for something with a stronger taste.  I like strong coffee.,1
173413,B006N3I0N2,A3KAN2F7A55PRL,Audra Dorie,0,0,5,1273536000,Wonderful decaf!,"Emeril's Jazzed Up Decaf - comes in K-Cups for Keurig brewers - this is really great coffee!  We love it.  Can't have but one or two cups of regular coffee in a day, so drink decaf in the afternoon or evening.  This Jazzed-up Decaf is impossible to tell from a great cup of any favorite.  Our family is impressed!",2
173507,B006N3I0N2,A1SVHXFN0WZYMK,Tammy37388,0,0,5,1341360000,Nice Decaf,"I often like a cup of coffee late in the day or in the evening yet dont want the caffiene and this fit perfectly. Good taste, strong but not overbrearing.",2
173477,B006N3I0N2,A5AJKFDNSA4J5,Marjorie Richmond,1,1,5,1271116800,"Maggie,Ca.","The best de-cafe I have tried, really full body and can also produce a 2nd smaller cup that still has the rich flavour",2
